사업지역,소재지코드,소재지,정렬순서,법정동,등록자번호,등록일시,수정자번호,수정일시
안심뉴타운조성사업,1,동구 각산동,,대구광역시 동구 각산동,20150233,2016-05-04 9:31,자료이관,2016-09-02 19:46
안심뉴타운조성사업,3,동구 신기동,,대구광역시 동구 신기동,20150233,2016-05-04 9:31,20150233,2016-05-16 17:12
안심뉴타운조성사업,5,동구 율하동,,대구광역시 동구 율하동,20150233,2016-05-04 9:32,20150233,2016-05-16 17:12
안심뉴타운조성사업,4,동구 율암동,,대구광역시 동구 율암동,20150233,2016-05-04 9:32,20150233,2016-05-16 17:12
죽곡2지구 택지개발사업,1,다사읍 죽곡리,,대구광역시 달성군 다사읍 죽곡리,admin,2005-01-28 9:23,admin,2007-10-02 22:12
죽곡지구 택지개발사업,1,달성군 다사읍 죽곡리,1,대구광역시 달성군 다사읍 죽곡리,admin,2005-12-26 11:18,admin,2007-10-02 22:12
죽곡지구 택지개발사업,2,달성군 다사읍 매곡리,1,대구광역시 달성군 다사읍 매곡리,admin,2005-12-26 11:18,admin,2007-10-02 22:12
ITS기반 지능형자동차 부품시험장 도시계획시설사업,1,구지면 수리리,1,대구광역시 달성군 구지면 수리리,20070204,2009-06-16 16:04,20070204,2009-06-17 18:38
ITS기반 지능형자동차 부품시험장 도시계획시설사업,2,구지면 화산리,2,대구광역시 달성군 구지면 화산리,20070204,2009-06-16 16:05,20070204,2009-06-17 18:38
ITS기반 지능형자동차 부품시험장 도시계획시설사업,3,구지면 창리,3,대구광역시 달성군 구지면 창리,20070204,2009-06-16 16:05,20070204,2009-06-17 18:38
엑스코 제2전시장 건립(대구전시컨벤션센터),1,대구광역시 북구 산격동,1,대구광역시 북구 산격동,19940154,2018-04-15 11:20,19940154,2018-04-15 11:20
대구대공원개발사업,1,대구광역시 수성구 삼덕동,1,대구광역시 수성구 삼덕동,20170257,2020-03-11 14:08,20170257,2020-03-11 14:08
복현지구주거환경개선사업,1,대구광역시 북구 복현동,1,대구광역시 북구 복현동,20050190,2021-02-02 17:11,20050190,2021-02-02 17:11
장기미집행공원 조성사업,1,대구광역시 달서구 성당동,1,대구광역시 달서구 성당동,20170257,2020-03-11 14:15,20170257,2020-03-11 14:15
장기미집행공원 조성사업,2,대구광역시 달서구 두류동,2,대구광역시 달서구 두류동,20170257,2020-03-11 14:16,20170257,2020-03-11 14:16
장기미집행공원 조성사업,3,대구광역시 달서구 월성동,3,대구광역시 달서구 월성동,20170257,2020-03-11 14:16,20170257,2020-03-11 14:16
장기미집행공원 조성사업,4,대구광역시 달서구 본동,4,대구광역시 달서구 본동,20170257,2020-03-11 14:16,20170257,2020-03-11 14:16
장기미집행공원 조성사업,5,대구광역시 남구 봉덕동,5,대구광역시 남구 봉덕동,20170257,2020-03-11 14:16,20170257,2020-03-11 14:16
장기미집행공원 조성사업,6,대구광역시 남구 대명동,6,대구광역시 남구 대명동,20170257,2020-03-11 14:16,20170257,2020-03-11 14:16
장기미집행공원 조성사업,7,대구광역시 달서구 송현동,7,대구광역시 달서구 송현동,20170257,2020-03-11 14:17,20170257,2020-03-11 14:17
장기미집행공원 조성사업,8,대구광역시 달성군 화원읍 천내리,8,대구광역시 달성군 화원읍 천내리,20170257,2020-03-11 14:17,20170257,2020-03-11 14:17
장기미집행공원 조성사업,9,대구광역시 달성군 화원읍 구라리,9,대구광역시 달성군 화원읍 구라리,20170257,2020-03-11 14:17,20170257,2020-03-11 14:17
장기미집행공원 조성사업,10,대구광역시 달서구 장기동,10,대구광역시 달서구 장기동,20170257,2020-03-11 14:18,20170257,2020-03-11 14:18
장기미집행공원 조성사업,11,대구광역시 달서구 장동,11,대구광역시 달서구 장동,20170257,2020-03-12 14:53,20170257,2020-03-12 14:53
장기미집행공원 조성사업,12,대구광역시 북구 산격동,12,대구광역시 북구 산격동,20170257,2020-03-12 14:54,20170257,2020-03-12 14:54
장기미집행공원 조성사업,13,대구광역시 동구 신암동,13,대구광역시 동구 신암동,20170257,2020-03-12 14:54,20170257,2020-03-12 14:54
장기미집행공원 조성사업,14,대구광역시 서구 중리동,14,대구광역시 서구 중리동,20170257,2020-03-12 14:54,20170257,2020-03-12 14:54
장기미집행공원 조성사업,15,대구광역시 동구 효목동,15,대구광역시 동구 효목동,20170257,2020-03-12 14:55,20170257,2020-03-12 14:55
장기미집행공원 조성사업,16,대구광역시 동구 불로동,16,대구광역시 동구 불로동,20170257,2020-03-12 14:55,20170257,2020-03-12 14:55
장기미집행공원 조성사업,17,대구광역시 동구 봉무동,17,대구광역시 동구 봉무동,20170257,2020-03-12 14:55,20170257,2020-03-12 14:55
장기미집행공원 조성사업,18,대구광역시 달성군 논공읍 남리,18,대구광역시 달성군 논공읍 남리,20170257,2020-03-12 14:56,20170257,2020-03-12 14:56
장기미집행공원 조성사업,19,대구광역시 달성군 논공읍 북리,19,대구광역시 달성군 논공읍 북리,20170257,2020-03-12 14:56,20170257,2020-03-12 14:56
장기미집행공원 조성사업,20,대구광역시 달성군 구지면 창리,20,대구광역시 달성군 구지면 창리,20170257,2020-03-12 14:56,20170257,2020-03-12 14:56
장기미집행공원 조성사업,21,대구광역시 달성군 현풍면 성하리,21,대구광역시 달성군 현풍면 성하리,20170257,2020-03-12 14:56,20170257,2020-03-12 14:56
장기미집행공원 조성사업,22,대구광역시 동구 도동,22,대구광역시 동구 도동,20170254,2020-08-07 9:50,20170254,2020-08-07 9:50
장기미집행공원 조성사업,23,대구광역시 북구 산격동(대불공원),23,대구광역시 북구 산격동(대불공원),20170254,2020-10-14 14:16,20170254,2020-10-14 14:16
장기미집행공원 조성사업,24,대구광역시 북구 산격동(연암공원),24,대구광역시 북구 산격동(연암공원),20170254,2020-10-14 14:16,20170254,2020-10-14 14:16
장기미집행공원 조성사업,25,대구광역시 달서구 송현동(송현공원),25,대구광역시 달서구 송현동(송현공원),20170254,2020-10-14 14:16,20170254,2020-10-14 14:16
장기미집행공원 조성사업,26,대구광역시 달서구 송현동(앞산공원),26,대구광역시 달서구 송현동(앞산공원),20170254,2020-10-14 14:16,20170254,2020-10-14 14:16
장기미집행공원 조성사업,27,대구광역시 달서구 장동(장동공원),27,대구광역시 달서구 장동(장동공원),20170254,2020-10-14 14:16,20170254,2020-10-14 14:16
장기미집행공원 조성사업,28,대구광역시 달서구 장동(장기공원),28,대구광역시 달서구 장동(장기공원),20170254,2020-10-14 14:16,20170254,2020-10-14 14:16
장기미집행공원 조성사업,29,대구광역시 달서구 송현동(학산공원),29,대구광역시 달서구 송현동(학산공원),20170254,2020-10-14 14:27,20170254,2020-10-14 14:27
장기미집행공원 조성사업,30,대구광역시 달서구 상인동,30,대구광역시 달서구 상인동,20170254,2021-01-11 15:17,20170254,2021-01-11 15:17
장기미집행공원 조성사업,31,대구광역시 달서구 장기동(장기추가),31,대구광역시 달서구 장기동(장기추가),20160239,2022-06-09 16:26,20160239,2022-06-09 16:26
장기미집행공원 조성사업,32,대구광역시 달서구 장동(장기기존),32,대구광역시 달서구 장동(장기기존),20160239,2022-06-09 16:26,20160239,2022-06-09 16:26
벌마마을 개발사업,1,대구광역시 북구 노원동3가,1,대구광역시 북구 노원동3가,20170258,2023-07-20 14:45,20170258,2023-07-20 14:45
제3산단 보상 수탁사업,1,대구광역시 북구 노원동3가,1,대구광역시 북구 노원동3가,20170258,2023-07-20 14:42,20170258,2023-07-20 14:42
