행정기관,총 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,여 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
대구광역시 동구 지저동,"12,358","12,358",322,623,"1,084","1,224","1,239","2,078","2,958","1,949",782,97,2,"6,104","6,104",163,326,586,712,703,"1,044","1,358",906,283,23,0,"6,254","6,254",159,297,498,512,536,"1,034","1,600","1,043",499,74,2
대구광역시 동구 동촌동,"13,759","13,759",437,752,"1,336","1,535","1,595","2,291","2,858","1,923",915,114,3,"6,928","6,928",213,386,780,888,855,"1,167","1,374",876,355,33,1,"6,831","6,831",224,366,556,647,740,"1,124","1,484","1,047",560,81,2
대구광역시 동구 방촌동,"16,721","16,721",467,"1,016","1,532","1,564","1,720","2,880","3,695","2,464","1,152",225,6,"8,064","8,064",267,538,839,857,910,"1,350","1,715","1,085",433,70,0,"8,657","8,657",200,478,693,707,810,"1,530","1,980","1,379",719,155,6
대구광역시 동구 해안동,"12,974","12,974",369,707,"1,210","1,320","1,362","2,162","2,759","2,022",920,140,3,"6,433","6,433",177,371,667,762,737,"1,122","1,341",886,343,27,0,"6,541","6,541",192,336,543,558,625,"1,040","1,418","1,136",577,113,3
대구광역시 동구 안심1동,"37,134","37,134","1,830","3,430","3,666","3,917","5,299","6,055","6,545","4,320","1,786",280,6,"17,970","17,970",936,"1,791","1,915","2,120","2,645","2,951","3,003","1,903",644,61,1,"19,164","19,164",894,"1,639","1,751","1,797","2,654","3,104","3,542","2,417","1,142",219,5
대구광역시 동구 안심2동,"16,914","16,914","1,176","1,036","1,661","2,713","2,200","3,013","2,764","1,637",608,103,3,"8,433","8,433",596,543,854,"1,460","1,183","1,455","1,353",716,243,30,0,"8,481","8,481",580,493,807,"1,253","1,017","1,558","1,411",921,365,73,3
대구광역시 동구 안심3동,"19,862","19,862","1,342","2,490","2,058","2,557","3,359","3,434","2,168","1,610",730,112,2,"9,602","9,602",691,"1,225","1,064","1,315","1,563","1,749","1,004",670,290,31,0,"10,260","10,260",651,"1,265",994,"1,242","1,796","1,685","1,164",940,440,81,2
대구광역시 동구 안심4동,"26,253","26,253","1,335","2,650","2,957","3,019","3,859","4,828","4,023","2,401","1,028",152,1,"12,813","12,813",686,"1,338","1,527","1,663","1,912","2,312","1,856","1,101",384,33,1,"13,440","13,440",649,"1,312","1,430","1,356","1,947","2,516","2,167","1,300",644,119,0
대구광역시 동구 혁신동,"16,497","16,497","1,566","1,968","1,375","2,860","3,615","2,014","1,659","1,046",343,51,0,"8,087","8,087",841,971,652,"1,419","1,861","1,009",715,473,136,10,0,"8,410","8,410",725,997,723,"1,441","1,754","1,005",944,573,207,41,0
대구광역시 동구 공산동,"19,663","19,663",994,"1,241","1,390","2,051","2,429","3,414","3,826","2,723","1,328",263,4,"9,488","9,488",505,598,756,"1,091","1,214","1,652","1,845","1,279",479,69,0,"10,175","10,175",489,643,634,960,"1,215","1,762","1,981","1,444",849,194,4
