행정기관,총 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,여 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
대구광역시 수성구 만촌1동,"20,240","20,240","1,242","1,988","1,990","2,012","2,752","3,633","3,226","2,173","1,036",185,3,"9,801","9,801",650,"1,027","1,102","1,033","1,312","1,686","1,538",989,401,63,0,"10,439","10,439",592,961,888,979,"1,440","1,947","1,688","1,184",635,122,3
대구광역시 수성구 만촌2동,"13,108","13,108",704,"1,710","1,574","1,332","2,121","2,314","1,729","1,066",467,88,3,"6,551","6,551",376,955,841,733,"1,011","1,124",816,490,181,24,0,"6,557","6,557",328,755,733,599,"1,110","1,190",913,576,286,64,3
대구광역시 수성구 만촌3동,"20,601","20,601","1,422","4,040","1,916","1,520","4,443","3,709","1,855","1,110",508,77,1,"10,692","10,692",837,"2,520","1,209",688,"1,994","1,843",914,474,191,21,1,"9,909","9,909",585,"1,520",707,832,"2,449","1,866",941,636,317,56,0
대구광역시 수성구 수성1가동,"16,942","16,942",910,"1,954","1,625","1,551","2,480","3,088","2,360","1,773","1,005",190,6,"7,620","7,620",379,841,829,782,"1,125","1,451","1,083",704,373,52,1,"9,322","9,322",531,"1,113",796,769,"1,355","1,637","1,277","1,069",632,138,5
대구광역시 수성구 수성2.3가동,"10,179","10,179",663,"1,393","1,021",762,"1,619","1,890","1,353",946,464,68,0,"4,947","4,947",325,699,546,372,744,982,655,402,200,22,0,"5,232","5,232",338,694,475,390,875,908,698,544,264,46,0
대구광역시 수성구 수성4가동,"12,832","12,832",432,"1,042","1,410","1,201","1,450","2,603","2,339","1,444",748,156,7,"5,866","5,866",220,495,724,600,635,"1,149","1,071",643,278,50,1,"6,966","6,966",212,547,686,601,815,"1,454","1,268",801,470,106,6
대구광역시 수성구 황금1동,"20,882","20,882","1,582","3,203","1,987","1,685","3,586","3,798","2,736","1,534",624,145,2,"9,979","9,979",786,"1,624","1,091",797,"1,625","1,795","1,291",682,251,37,0,"10,903","10,903",796,"1,579",896,888,"1,961","2,003","1,445",852,373,108,2
대구광역시 수성구 황금2동,"11,700","11,700",698,963,"1,347","1,662","1,754","1,944","1,584","1,159",517,72,0,"5,580","5,580",336,462,650,838,888,956,726,491,212,21,0,"6,120","6,120",362,501,697,824,866,988,858,668,305,51,0
대구광역시 수성구 중동,"14,402","14,402","1,173","1,213","1,397","2,069","2,385","2,403","1,907","1,205",557,93,0,"7,047","7,047",608,633,709,"1,032","1,186","1,195",907,536,218,23,0,"7,355","7,355",565,580,688,"1,037","1,199","1,208","1,000",669,339,70,0
대구광역시 수성구 상동,"13,914","13,914",508,"1,007","1,381","1,469","1,702","2,421","2,601","1,823",834,165,3,"6,748","6,748",275,514,721,815,827,"1,155","1,238",822,342,39,0,"7,166","7,166",233,493,660,654,875,"1,266","1,363","1,001",492,126,3
대구광역시 수성구 파동,"16,981","16,981","1,160","1,258","1,385","2,387","2,577","2,851","2,634","1,819",759,145,6,"8,111","8,111",583,671,746,"1,218","1,257","1,326","1,143",802,327,38,0,"8,870","8,870",577,587,639,"1,169","1,320","1,525","1,491","1,017",432,107,6
대구광역시 수성구 두산동,"14,735","14,735",863,"1,230","1,812","2,163","2,267","2,626","2,137","1,136",416,81,4,"7,116","7,116",453,623,867,"1,096","1,094","1,245","1,041",491,180,25,1,"7,619","7,619",410,607,945,"1,067","1,173","1,381","1,096",645,236,56,3
대구광역시 수성구 지산1동,"18,559","18,559",408,"1,241","2,013","1,883","2,004","3,456","3,638","2,492","1,208",214,2,"8,791","8,791",222,685,"1,118","1,035",989,"1,532","1,639","1,080",431,59,1,"9,768","9,768",186,556,895,848,"1,015","1,924","1,999","1,412",777,155,1
대구광역시 수성구 지산2동,"18,089","18,089",730,"1,516","1,760","1,918","2,219","3,320","3,353","2,154",919,197,3,"8,367","8,367",387,750,909,986,"1,027","1,477","1,463",961,354,52,1,"9,722","9,722",343,766,851,932,"1,192","1,843","1,890","1,193",565,145,2
대구광역시 수성구 범물1동,"9,636","9,636",172,433,650,661,850,"1,484","2,305","1,958",943,177,3,"4,290","4,290",78,217,376,355,445,657,"1,043",805,276,38,0,"5,346","5,346",94,216,274,306,405,827,"1,262","1,153",667,139,3
대구광역시 수성구 범물2동,"15,532","15,532",740,"1,641","1,469","1,542","2,151","2,825","2,823","1,654",574,112,1,"7,418","7,418",382,843,798,804,"1,016","1,284","1,254",783,230,24,0,"8,114","8,114",358,798,671,738,"1,135","1,541","1,569",871,344,88,1
대구광역시 수성구 고산1동,"31,123","31,123","1,735","4,227","3,420","3,035","4,686","6,031","4,619","2,183","1,010",175,2,"14,919","14,919",905,"2,210","1,802","1,528","2,092","2,734","2,202",997,406,41,2,"16,204","16,204",830,"2,017","1,618","1,507","2,594","3,297","2,417","1,186",604,134,0
대구광역시 수성구 고산2동,"25,594","25,594","1,562","2,676","2,833","2,961","3,447","4,817","3,973","2,169",980,171,5,"12,508","12,508",813,"1,391","1,577","1,570","1,605","2,253","1,895",968,378,57,1,"13,086","13,086",749,"1,285","1,256","1,391","1,842","2,564","2,078","1,201",602,114,4
대구광역시 수성구 고산3동,"29,142","29,142","1,215","3,006","3,396","2,861","3,701","6,031","5,004","2,428","1,246",251,3,"13,910","13,910",621,"1,605","1,833","1,490","1,683","2,653","2,460","1,071",424,70,0,"15,232","15,232",594,"1,401","1,563","1,371","2,018","3,378","2,544","1,357",822,181,3
대구광역시 달서구 성당동,"19,984","19,984",740,"1,756","1,721","2,053","2,695","3,392","3,810","2,604","1,048",162,3,"9,640","9,640",364,827,858,"1,117","1,340","1,738","1,797","1,165",404,30,0,"10,344","10,344",376,929,863,936,"1,355","1,654","2,013","1,439",644,132,3
대구광역시 달서구 두류1.2동,"15,577","15,577",662,775,"2,024","2,529","1,840","2,405","2,658","1,744",848,91,1,"7,633","7,633",334,379,925,"1,350","1,005","1,278","1,256",756,333,17,0,"7,944","7,944",328,396,"1,099","1,179",835,"1,127","1,402",988,515,74,1
대구광역시 달서구 두류3동,"8,909","8,909",339,573,"1,000","1,202","1,057","1,488","1,569","1,105",505,70,1,"4,294","4,294",174,302,491,657,534,709,733,484,191,19,0,"4,615","4,615",165,271,509,545,523,779,836,621,314,51,1
대구광역시 달서구 감삼동,"31,097","31,097","2,387","2,925","3,491","4,944","4,729","5,125","4,396","2,245",775,79,1,"15,136","15,136","1,226","1,436","1,750","2,534","2,324","2,398","2,102","1,007",339,19,1,"15,961","15,961","1,161","1,489","1,741","2,410","2,405","2,727","2,294","1,238",436,60,0
대구광역시 달서구 죽전동,"14,298","14,298",690,810,"1,829","2,361","1,727","2,362","2,537","1,402",502,76,2,"7,046","7,046",347,418,900,"1,309",906,"1,128","1,184",655,179,20,0,"7,252","7,252",343,392,929,"1,052",821,"1,234","1,353",747,323,56,2
대구광역시 달서구 장기동,"15,315","15,315",750,"1,286","1,719","1,929","2,042","2,922","2,584","1,449",560,72,2,"7,411","7,411",401,652,907,"1,036","1,025","1,348","1,201",634,187,19,1,"7,904","7,904",349,634,812,893,"1,017","1,574","1,383",815,373,53,1
대구광역시 달서구 용산1동,"27,850","27,850","1,084","2,567","3,498","3,185","3,310","6,084","4,997","2,126",880,117,2,"13,875","13,875",575,"1,304","1,902","1,762","1,595","2,819","2,573",956,358,30,1,"13,975","13,975",509,"1,263","1,596","1,423","1,715","3,265","2,424","1,170",522,87,1
대구광역시 달서구 용산2동,"24,621","24,621",808,"2,048","2,831","2,601","2,980","5,423","5,063","1,941",805,119,2,"12,191","12,191",414,"1,073","1,554","1,460","1,459","2,481","2,538",899,277,36,0,"12,430","12,430",394,975,"1,277","1,141","1,521","2,942","2,525","1,042",528,83,2
대구광역시 달서구 이곡1동,"19,663","19,663",668,"1,556","2,621","2,292","2,235","4,355","3,739","1,465",627,103,2,"9,799","9,799",365,770,"1,458","1,291","1,106","1,982","1,905",669,229,24,0,"9,864","9,864",303,786,"1,163","1,001","1,129","2,373","1,834",796,398,79,2
대구광역시 달서구 이곡2동,"14,081","14,081",437,913,"1,584","1,617","1,638","2,756","3,182","1,408",481,64,1,"7,101","7,101",252,453,868,943,894,"1,283","1,516",693,177,22,0,"6,980","6,980",185,460,716,674,744,"1,473","1,666",715,304,42,1
대구광역시 달서구 신당동,"27,984","27,984",695,"2,038","6,243","2,978","2,630","5,061","4,705","2,393","1,073",166,2,"14,105","14,105",358,945,"3,211","1,821","1,423","2,549","2,387","1,014",365,32,0,"13,879","13,879",337,"1,093","3,032","1,157","1,207","2,512","2,318","1,379",708,134,2
대구광역시 달서구 본리동,"22,832","22,832","1,745","2,354","2,045","3,378","3,700","3,911","3,445","1,632",527,93,2,"11,214","11,214",886,"1,164","1,025","1,792","1,841","1,875","1,611",789,209,21,1,"11,618","11,618",859,"1,190","1,020","1,586","1,859","2,036","1,834",843,318,72,1
대구광역시 달서구 월성1동,"39,431","39,431","3,304","7,344","3,878","3,645","8,155","7,485","3,213","1,695",591,121,0,"19,220","19,220","1,627","3,728","2,109","1,693","3,639","3,825","1,547",780,239,33,0,"20,211","20,211","1,677","3,616","1,769","1,952","4,516","3,660","1,666",915,352,88,0
대구광역시 달서구 월성2동,"13,488","13,488",263,787,"1,070",961,"1,368","2,478","2,854","2,432","1,098",176,1,"6,344","6,344",136,399,594,550,714,"1,215","1,365",973,357,40,1,"7,144","7,144",127,388,476,411,654,"1,263","1,489","1,459",741,136,0
대구광역시 달서구 진천동,"49,321","49,321","2,892","4,791","5,150","5,902","7,031","8,960","8,179","4,366","1,731",316,3,"23,950","23,950","1,494","2,499","2,739","3,124","3,418","4,151","3,820","1,992",640,72,1,"25,371","25,371","1,398","2,292","2,411","2,778","3,613","4,809","4,359","2,374","1,091",244,2
대구광역시 달서구 유천동,"32,868","32,868","4,274","5,738","2,354","4,741","7,486","4,655","2,296",989,302,32,1,"16,257","16,257","2,220","2,912","1,225","2,202","3,616","2,383","1,096",465,130,8,0,"16,611","16,611","2,054","2,826","1,129","2,539","3,870","2,272","1,200",524,172,24,1
대구광역시 달서구 상인1동,"31,869","31,869","1,575","3,523","3,441","3,173","4,108","6,067","5,619","3,022","1,136",203,2,"15,278","15,278",805,"1,901","1,882","1,627","1,889","2,693","2,584","1,393",444,60,0,"16,591","16,591",770,"1,622","1,559","1,546","2,219","3,374","3,035","1,629",692,143,2
대구광역시 달서구 상인2동,"16,708","16,708",651,"1,068","2,135","2,399","1,926","2,736","3,317","1,724",651,99,2,"8,235","8,235",370,569,"1,118","1,400",982,"1,268","1,480",794,228,26,0,"8,473","8,473",281,499,"1,017",999,944,"1,468","1,837",930,423,73,2
대구광역시 달서구 상인3동,"9,451","9,451",128,355,586,656,865,"1,488","2,523","1,931",769,146,4,"4,489","4,489",75,195,324,392,477,728,"1,150",888,232,26,2,"4,962","4,962",53,160,262,264,388,760,"1,373","1,043",537,120,2
대구광역시 달서구 도원동,"30,910","30,910","1,044","2,568","3,002","2,911","3,647","5,801","6,940","3,472","1,286",232,7,"14,688","14,688",540,"1,359","1,586","1,588","1,747","2,560","3,178","1,604",450,73,3,"16,222","16,222",504,"1,209","1,416","1,323","1,900","3,241","3,762","1,868",836,159,4
대구광역시 달서구 송현1동,"15,895","15,895",388,813,"1,777","1,700","1,803","2,877","3,286","2,180",921,147,3,"7,975","7,975",197,417,918,974,993,"1,483","1,588",979,389,37,0,"7,920","7,920",191,396,859,726,810,"1,394","1,698","1,201",532,110,3
대구광역시 달서구 송현2동,"17,601","17,601",670,957,"1,649","2,080","2,063","2,914","3,561","2,420","1,089",197,1,"8,342","8,342",326,460,832,"1,146","1,062","1,399","1,615","1,053",399,50,0,"9,259","9,259",344,497,817,934,"1,001","1,515","1,946","1,367",690,147,1
대구광역시 달서구 본동,"12,946","12,946",485,919,"1,278","1,640","1,705","2,378","2,427","1,414",580,119,1,"6,348","6,348",257,479,654,927,882,"1,195","1,120",619,193,22,0,"6,598","6,598",228,440,624,713,823,"1,183","1,307",795,387,97,1
대구광역시 달성군 화원읍,"45,351","45,351","2,179","3,641","4,523","4,889","5,360","8,804","9,221","4,680","1,765",285,4,"22,319","22,319","1,143","1,869","2,465","2,715","2,691","4,133","4,418","2,136",686,63,0,"23,032","23,032","1,036","1,772","2,058","2,174","2,669","4,671","4,803","2,544","1,079",222,4
대구광역시 달성군 논공읍,"4,125","4,125",173,176,234,403,472,733,987,602,301,43,1,"2,240","2,240",77,99,138,244,285,428,550,305,105,9,0,"1,885","1,885",96,77,96,159,187,305,437,297,196,34,1
대구광역시 달성군 논공읍공단출장소,"10,644","10,644",359,858,"1,010",970,"1,389","2,606","2,108",884,395,64,1,"5,739","5,739",177,446,665,592,735,"1,446","1,151",401,117,9,0,"4,905","4,905",182,412,345,378,654,"1,160",957,483,278,55,1
대구광역시 달성군 다사읍,"51,388","51,388","3,951","6,803","4,623","6,328","9,142","8,540","6,975","3,632","1,207",180,7,"25,241","25,241","2,028","3,456","2,447","3,285","4,406","4,152","3,305","1,634",489,39,0,"26,147","26,147","1,923","3,347","2,176","3,043","4,736","4,388","3,670","1,998",718,141,7
대구광역시 달성군 다사읍서재출장소,"37,352","37,352","4,104","4,540","2,957","5,594","8,028","5,674","4,122","1,726",538,68,1,"18,978","18,978","2,046","2,349","1,605","2,851","4,252","2,864","1,994",808,198,11,0,"18,374","18,374","2,058","2,191","1,352","2,743","3,776","2,810","2,128",918,340,57,1
대구광역시 달성군 유가읍,"31,200","31,200","3,579","4,868","2,435","4,485","7,106","4,254","2,662","1,290",443,78,0,"15,863","15,863","1,782","2,523","1,400","2,281","3,538","2,252","1,283",638,152,14,0,"15,337","15,337","1,797","2,345","1,035","2,204","3,568","2,002","1,379",652,291,64,0
대구광역시 달성군 옥포읍,"22,168","22,168","1,512","1,949","1,428","2,405","3,452","3,583","4,325","2,481",898,134,1,"11,123","11,123",775,"1,023",748,"1,245","1,828","1,766","2,150","1,228",330,29,1,"11,045","11,045",737,926,680,"1,160","1,624","1,817","2,175","1,253",568,105,0
대구광역시 달성군 현풍읍,"20,942","20,942","1,421","1,918","2,294","3,287","3,543","2,866","2,961","1,783",731,137,1,"11,064","11,064",699,961,"1,452","1,961","1,941","1,542","1,468",783,229,28,0,"9,878","9,878",722,957,842,"1,326","1,602","1,324","1,493","1,000",502,109,1
대구광역시 달성군 가창면,"6,720","6,720",164,432,395,364,639,"1,007","1,626","1,281",628,177,7,"3,309","3,309",82,235,224,205,308,541,808,645,226,33,2,"3,411","3,411",82,197,171,159,331,466,818,636,402,144,5
대구광역시 달성군 하빈면,"3,107","3,107",36,92,123,182,197,501,989,560,342,83,2,"1,691","1,691",15,54,76,119,125,286,599,291,106,20,0,"1,416","1,416",21,38,47,63,72,215,390,269,236,63,2
대구광역시 달성군 구지면,"18,791","18,791","2,196","1,853","1,382","3,334","3,790","2,419","2,104","1,101",513,98,1,"9,958","9,958","1,128",933,810,"1,863","2,135","1,295","1,067",536,165,25,1,"8,833","8,833","1,068",920,572,"1,471","1,655","1,124","1,037",565,348,73,0
대구광역시 군위군 ,"22,626","22,626",444,804,916,"1,145","1,619","3,503","6,317","4,664","2,658",553,3,"11,799","11,799",249,447,536,689,923,"1,997","3,503","2,358",968,129,0,"10,827","10,827",195,357,380,456,696,"1,506","2,814","2,306","1,690",424,3
대구광역시 군위군 군위읍,"7,907","7,907",261,535,524,554,824,"1,431","1,764","1,216",657,140,1,"4,119","4,119",146,306,299,324,427,794,956,591,243,33,0,"3,788","3,788",115,229,225,230,397,637,808,625,414,107,1
대구광역시 군위군 소보면,"2,226","2,226",27,31,43,89,138,311,675,505,344,62,1,"1,189","1,189",19,13,29,53,81,193,394,259,126,22,0,"1,037","1,037",8,18,14,36,57,118,281,246,218,40,1
대구광역시 군위군 효령면,"3,663","3,663",59,87,122,183,200,531,"1,130",838,427,86,0,"1,932","1,932",35,40,76,114,119,316,625,436,155,16,0,"1,731","1,731",24,47,46,69,81,215,505,402,272,70,0
대구광역시 군위군 부계면,"2,106","2,106",23,51,64,102,105,342,648,454,264,53,0,"1,112","1,112",14,36,38,67,70,178,368,229,95,17,0,994,994,9,15,26,35,35,164,280,225,169,36,0
대구광역시 군위군 우보면,"1,956","1,956",24,25,62,67,97,269,616,459,275,62,0,"1,012","1,012",11,13,36,38,69,162,336,239,94,14,0,944,944,13,12,26,29,28,107,280,220,181,48,0
대구광역시 군위군 의흥면,"2,240","2,240",24,39,59,80,133,276,661,557,337,74,0,"1,107","1,107",9,16,33,46,77,168,346,272,123,17,0,"1,133","1,133",15,23,26,34,56,108,315,285,214,57,0
대구광역시 군위군 산성면,"1,206","1,206",21,18,19,36,45,174,373,297,178,44,1,618,618,12,10,12,24,29,100,215,146,61,9,0,588,588,9,8,7,12,16,74,158,151,117,35,1
대구광역시 군위군 삼국유사면,"1,322","1,322",5,18,23,34,77,169,450,338,176,32,0,710,710,3,13,13,23,51,86,263,186,71,1,0,612,612,2,5,10,11,26,83,187,152,105,31,0
